model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr.out.postproc,37.064594406515354,52.997043432948324,73.16792193258438,69.82670234590577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,39.16743928278638,55.0216253924144,73.63645967906352,70.08054294794836,300.0,0.4,311.0,36.547118151617035,39.17218609409109,2.6250679424740553,1.901436350082667,-0.8207934190497008,6.399780718495576,2.623784017821798,278.0,22.0,0.0,23.912191693861768,2.2381823551975367e-71,0.14666666666666667,0.9266666666666666,0.07333333333333333,False,300.0,0.4,311.0,73.17119744402483,73.66035626443764,0.48915882041280545,0.9794919814801486,-1.4654996928869723,2.3969168537011925,0.5381144128045079,209.0,91.0,0.0,8.649871014208097,3.2153120901434315e-16,0.6066666666666667,0.6966666666666667,0.30333333333333334,False,300.0,0.4,311.0,69.82543651841078,70.07743975849142,0.2520032400806366,0.9338880408277828,-1.3793997452190052,2.0771461835436513,0.23045204939182717,186.0,114.0,0.0,4.673819520215181,4.478143803610231e-06,0.76,0.62,0.38,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,41.8455574735884,56.23732697496244,74.36161952205913,69.9872206690382,300.0,0.4,311.0,36.547118151617035,40.96421754599963,4.417099394382589,2.383895072213835,-0.5891568704762188,8.551693613628073,4.54185077530142,290.0,10.0,0.0,32.09302566344708,7.351384894445857e-99,0.06666666666666667,0.9666666666666667,0.03333333333333333,False,300.0,0.4,311.0,73.17119744402483,74.3253803405859,1.15418289656105,1.1524549233386792,-1.4110522578287734,3.260880005201536,1.1880438523277193,257.0,43.0,0.0,17.346478179635177,4.0009871837843203e-47,0.2866666666666667,0.8566666666666667,0.14333333333333334,False,300.0,0.4,311.0,69.82543651841078,69.96687122630027,0.14143470788947532,1.0618010690438553,-2.054596350219853,2.2532408301182487,0.1827371177949344,174.0,126.0,0.0,2.307137439961609,0.021730242108715297,0.84,0.58,0.42,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,40.66679354223255,54.91641334248251,71.78669499767946,67.49556933168893,300.0,0.4,311.0,36.547118151617035,39.59145470165623,3.044336550039193,2.693999185681213,-3.0458249489877733,7.864754521566759,3.4238430064081555,259.0,41.0,0.0,19.572929375899204,1.7397673300848907e-55,0.2733333333333333,0.8633333333333333,0.13666666666666666,False,300.0,0.4,311.0,73.17119744402483,71.74742053514636,-1.4237769088784729,1.326866411222415,-4.219802894728357,1.086267071186156,-1.4388418513862244,39.0,261.0,0.0,-18.585548054901423,8.704126197455234e-52,0.26,0.13,0.87,False,300.0,0.4,311.0,69.82543651841078,67.46077751444147,-2.3646590039693014,1.2474204278959422,-4.720875029826472,-0.033670261478309434,-2.3204484169889517,8.0,292.0,0.0,-32.83343326642798,3.606596844876762e-101,0.05333333333333334,0.02666666666666667,0.9733333333333334,True
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,41.33646049503035,55.772334587617735,73.06592676361862,68.44739701066699,300.0,0.4,311.0,36.547118151617035,40.59561499581463,4.048496844197596,2.1881129657233735,-0.14874450884624899,8.384287606858972,4.11806533725748,291.0,9.0,0.0,32.046801688386864,1.026874178770046e-98,0.06,0.97,0.03,False,300.0,0.4,311.0,73.17119744402483,73.03594143128089,-0.13525601274394802,1.2550944923421035,-2.6301243020838485,2.2922931752883327,-0.12393031281290323,140.0,160.0,0.0,-1.8665549688178067,0.06294247456907495,0.9333333333333333,0.4666666666666667,0.5333333333333333,False,300.0,0.4,311.0,69.82543651841078,68.44488696404208,-1.3805495543686903,1.1574194679822691,-3.692246242830604,0.9661008472707069,-1.405482305591127,44.0,256.0,0.0,-20.65959694545051,1.5741293652334261e-59,0.29333333333333333,0.14666666666666667,0.8533333333333334,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,40.57751629631839,55.59384315431779,74.14379979230876,70.31577932174909,300.0,0.4,311.0,36.547118151617035,40.48391156260071,3.9367934109836717,1.7827285953332281,0.8549161970198339,7.721222479516708,3.915838442072303,299.0,1.0,0.0,38.24881826979134,3.4659042331016384e-117,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True,300.0,0.4,311.0,73.17119744402483,74.17465746043388,1.0034600164090448,1.0483617988180387,-1.022104759404132,3.0030703640444076,1.0610940084580078,245.0,55.0,0.0,16.578663336873767,3.12093607739693e-44,0.36666666666666664,0.8166666666666667,0.18333333333333332,False,300.0,0.4,311.0,69.82543651841078,70.3364069336608,0.5109704152500264,0.9768939499398968,-1.3473192568856385,2.587367343653433,0.48107767890887,217.0,83.0,0.0,9.059598745923893,1.7522013659570668e-17,0.5533333333333333,0.7233333333333334,0.27666666666666667,False
google/gemma-2-9b-it,test.fr.default.out.postproc,42.969244001744336,59.672358265258154,78.87994987240477,75.16540057640738,300.0,0.4,311.0,36.547118151617035,42.752903597973095,6.205785446356061,1.718594110755272,3.1229864819359703,10.156179504722841,6.125150219082453,300.0,0.0,0.0,62.54377125286695,8.93594634749048e-174,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,78.92660806084497,5.755410616820136,0.6797890047366524,4.5210173426621205,6.963022341322855,5.73333813254856,300.0,0.0,0.0,146.64349580963915,1.4806236611585409e-280,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,75.19073236962862,5.365295851217845,0.6862522944347801,4.048220418225915,6.765194793989419,5.371971960236404,300.0,0.0,0.0,135.4161594403383,2.293377071961748e-270,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.000279960296496,62.143789100703515,80.50064597580884,75.09743011672832,300.0,0.4,311.0,36.547118151617035,44.935151619354876,8.388033467737836,1.7199584955747924,5.346454427128267,12.517151519608651,8.33868502097365,300.0,0.0,0.0,84.47006238284148,1.086409142239615e-210,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,80.51060347084959,7.339406026824749,0.672157865336401,5.933879095450094,8.615621270018947,7.332138099087782,300.0,0.0,0.0,189.12557289611556,0.0,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,75.12071638983161,5.2952798714208456,0.6484808073950301,4.089100271511303,6.557653161346723,5.291368158300585,300.0,0.0,0.0,141.4335424118519,6.328500893661477e-276,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.mmtc.out.postproc,45.2419249303123,62.22945204419993,80.63992809988511,75.23870255265918,300.0,0.4,311.0,36.547118151617035,45.15464708587849,8.607528934261444,1.688864847910252,5.396353181133827,12.541050381841432,8.659350232127927,300.0,0.0,0.0,88.27632039477605,3.409481640190857e-216,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,80.62951237180481,7.458314927779976,0.6590143282840482,6.066370555633904,8.738460246820923,7.49225654306902,300.0,0.0,0.0,196.02275457956856,0.0,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,75.25588747874973,5.4304509603389475,0.6446928930417622,4.206135185537227,6.668135705149441,5.425818111160563,300.0,0.0,0.0,145.8960859168175,6.681282789841511e-280,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.09177323931512,62.31016236600483,80.51182103356493,74.95348619985151,300.0,0.4,311.0,36.547118151617035,46.00596317231255,9.458845020695508,1.6831356684104928,6.417102361025676,13.2340825756165,9.405878137567537,300.0,0.0,0.0,97.33737133760795,1.863668143800259e-228,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,80.51509737770401,7.343899933679182,0.6716192143379984,5.901381710238778,8.63219563145538,7.371812697104701,300.0,0.0,0.0,189.39314926199523,0.0,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,74.9738585319358,5.148422013525028,0.662038913890874,3.927147774163543,6.489566186281263,5.127046345897806,300.0,0.0,0.0,134.694929846696,1.103525421403404e-269,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.rocsmt.out.postproc,43.86705697520098,61.37323038879645,80.29063241975801,75.47846346364825,300.0,0.4,311.0,36.547118151617035,43.82556864392829,7.278450492311252,1.7289966813284356,3.9700534455665974,11.084100769677299,7.254115027756647,300.0,0.0,0.0,72.91307258826988,1.8069234493337355e-192,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,80.30329669147953,7.132099247454701,0.6636883192058698,5.818345900085959,8.312501082993396,7.139659902961309,300.0,0.0,0.0,186.1289087624196,0.0,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,75.48503315333768,5.6595966349269045,0.6473168772056861,4.322000586478652,6.915464973095145,5.648470198034861,300.0,0.0,0.0,151.43601638126944,1.1215097557772803e-284,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,test.fr.default.out.postproc,45.58762669528654,61.06929823185585,79.05335896954114,74.36879613991717,300.0,0.4,311.0,36.547118151617035,45.538738885496656,8.991620733879625,1.644993791129295,5.8946168937425885,12.64487887992058,8.879905023305177,300.0,0.0,0.0,94.67478866760761,5.742285993993437e-225,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,79.03447281761696,5.863275373592127,0.669241979909455,4.632540685858369,7.1155545859331095,5.845546180987283,300.0,0.0,0.0,151.7461717987706,6.1308783426469504e-285,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,74.38760815639077,4.56217163797999,0.6385112151889141,3.344135530460689,5.7330193181321585,4.5789318836003625,300.0,0.0,0.0,123.7552744863402,7.060819166017502e-259,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,test.fr.footweets.out.postproc,46.09044163619438,61.43951187477823,79.31781857246905,74.29891711956745,300.0,0.4,311.0,36.547118151617035,45.97826994331396,9.431151791696921,1.657789610926844,6.191944978535471,13.247692379218657,9.421708976745332,300.0,0.0,0.0,98.5362314339788,5.354043362897046e-230,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,79.31212013905582,6.140922695030992,0.6613775741709756,4.929434532161883,7.396929773031895,6.129329134126182,300.0,0.0,0.0,160.82175339070105,2.166098937755625e-292,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,74.33814317703502,4.512706658624248,0.625797435380191,3.3691405766071556,5.628357079970106,4.518953703607387,300.0,0.0,0.0,124.90043535641814,4.735954039443548e-260,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,test.fr.mmtc.out.postproc,45.69034216834185,61.198287137573146,79.02635778162623,74.12837478338214,300.0,0.4,311.0,36.547118151617035,45.56926446352217,9.022146311905123,1.6451900883162225,5.847337958764476,12.505540076236555,8.985050649335445,300.0,0.0,0.0,94.98486476740919,2.2289664789954084e-225,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,79.0243996609829,5.853202216958053,0.6604574394374247,4.683682974248258,7.076917862657369,5.879519824717205,300.0,0.0,0.0,153.50033206351173,2.0601291967705844e-286,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,74.1664302769134,4.340993758502624,0.6378625058264255,3.1327623953006647,5.502310101529788,4.341748323279565,300.0,0.0,0.0,117.87527368965533,1.1051698516440807e-252,0.0,1.0,0.0,True
Unbabel/TowerInstruct-7B-v0.2,test.fr.pfsmb.out.postproc,45.8035120683846,61.0923839618908,79.04328433089582,74.20611339723128,300.0,0.4,311.0,36.547118151617035,45.71248157773858,9.165363426121546,1.6658597751422528,5.89943112668379,12.801568220393436,9.143479920641774,300.0,0.0,0.0,95.2953865670985,8.66539101664e-226,0.0,1.0,0.0,True,300.0,0.4,311.0,73.17119744402483,79.04569294659015,5.874495502565324,0.6556026636355874,4.718594197722881,7.193432185571291,5.8616726129193,300.0,0.0,0.0,155.19956283969088,7.979665367061408e-288,0.0,1.0,0.0,True,300.0,0.4,311.0,69.82543651841078,74.23088171340262,4.405445194991839,0.6378759150426551,3.1914870670945756,5.670452738641923,4.379924633495291,300.0,0.0,0.0,119.622872219212,1.4856577592128096e-254,0.0,1.0,0.0,True
