model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,detok.twitter.sent.en.txt.out.postproc,40.942511615103825,57.35863727192836,80.15194682657764,76.61930549019068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.footweets.out.postproc,41.573155582999625,56.40365793292478,78.02069742212446,72.86859387510324,300.0,0.4,1556.0,40.28168730109913,41.56878186804366,1.2870945669445326,0.4089522311091949,0.4943339538720935,2.109223757030599,1.3066238930477319,300.0,0.0,0.0,54.512801606370026,2.2885057936565685e-157,0.0,1.0,0.0,True,300.0,0.4,1556.0,81.4839653322328,78.02095988974767,-3.463005442485124,0.48894619218896396,-4.498898761782674,-2.6354396954935346,-3.474780673443656,0.0,300.0,0.0,-122.67405839523705,9.255581369600735e-258,0.0,0.0,1.0,True,300.0,0.4,1556.0,77.28649384150444,72.87539070228557,-4.411103139218859,0.42174067889046835,-5.228532063499439,-3.582081918228793,-4.42123868931229,0.0,300.0,0.0,-181.16001460077106,1.069186080402913e-307,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.pfsmb.out.postproc,42.06900455161707,56.874208293682194,79.08054495890792,73.84720984400927,300.0,0.4,1556.0,40.28168730109913,42.077215605618996,1.795528304519866,0.38591064072959735,0.9649879091330126,2.481596860379051,1.8014000478386833,300.0,0.0,0.0,80.58721169172193,7.766505635668822e-205,0.0,1.0,0.0,True,300.0,0.4,1556.0,81.4839653322328,79.08528768822818,-2.398677644004603,0.4567231271148044,-3.283271754979326,-1.5642922087680273,-2.3891183511763394,0.0,300.0,0.0,-90.96608653564535,5.951210577659456e-220,0.0,0.0,1.0,True,300.0,0.4,1556.0,77.28649384150444,73.86652165046719,-3.419972191037229,0.40168487836613676,-4.252322462739323,-2.69291432770711,-3.4087128975550716,0.0,300.0,0.0,-147.46797587809098,2.8333573868328065e-281,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.mmtc.out.postproc,40.61261575814013,54.39385527685721,76.64744645839916,71.89522397475244,300.0,0.4,1556.0,40.28168730109913,40.60406502911274,0.3223777280136169,0.40393954928710973,-0.5081892910515459,1.0429655251556669,0.3404429158745401,242.0,58.0,0.0,13.823221943324171,6.078158676332036e-34,0.38666666666666666,0.8066666666666666,0.19333333333333333,False,300.0,0.4,1556.0,81.4839653322328,76.66295267916392,-4.82101265306887,0.5582816473734965,-6.100373361570938,-3.820485414932351,-4.8296590237507155,0.0,300.0,0.0,-149.57036288641083,4.351159807595777e-283,0.0,0.0,1.0,True,300.0,0.4,1556.0,77.28649384150444,71.92890497506455,-5.357588866439863,0.4929972740139134,-6.348614058191565,-4.425894782799455,-5.338626366424681,0.0,300.0,0.0,-188.22854834847016,1.264161703395e-312,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.rocsmt.out.postproc,40.867860531435845,56.05266310442377,76.86601704023404,71.9243432944279,300.0,0.4,1556.0,40.28168730109913,40.89627999090648,0.6145926898073455,0.40967320050419853,-0.20893569477474258,1.4198622002974362,0.6205929249239936,277.0,23.0,0.0,25.984266566536895,1.1320213971215377e-78,0.15333333333333332,0.9233333333333333,0.07666666666666666,False,300.0,0.4,1556.0,81.4839653322328,76.87891784056562,-4.605047491667177,0.5511988725809015,-5.869009230443898,-3.583114198301282,-4.604689937784001,0.0,300.0,0.0,-144.70596047281416,7.475925571178151e-279,0.0,0.0,1.0,True,300.0,0.4,1556.0,77.28649384150444,71.92396241112355,-5.3625314303808675,0.5243347466090181,-6.581037515549316,-4.424827815126863,-5.355488953293136,0.0,300.0,0.0,-177.14212065237405,8.216125031708615e-305,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.default.out.postproc,40.28381454551263,55.44799234916494,81.47660002790586,77.27151533483877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.29376448568354,60.43409201223285,85.4383631977455,79.70651106467803,300.0,0.4,1556.0,43.09866455699749,47.278219898873274,4.179555341875789,0.35519973233106067,3.420016086063401,4.86815918882004,4.173730892243338,300.0,0.0,0.0,203.8065219719125,7e-323,0.0,1.0,0.0,True,300.0,0.4,1556.0,83.02327488681371,85.4454839168549,2.422209030041198,0.2306161244281,1.9890611688187483,2.914295775820632,2.4142005717846304,300.0,0.0,0.0,181.9208920012657,3.0880309368976604e-308,0.0,1.0,0.0,True,300.0,0.4,1556.0,79.42009987800215,79.71562255664243,0.29552267864027326,0.17373451147431468,-0.020297753952613344,0.632903070157934,0.2914474008169188,289.0,11.0,0.0,29.46221161530579,2.0514003786433666e-90,0.07333333333333333,0.9633333333333334,0.03666666666666667,False
google/gemma-2-9b-it,detok.twitter.sent.en.txt.pfsmb.out.postproc,49.03927830207489,62.69558376628218,86.00179112625784,78.85456876434131,300.0,0.4,1556.0,43.09866455699749,49.0243999350755,5.925735378078015,0.41025023765168844,5.166841663039045,6.803965772344148,5.894045464426661,300.0,0.0,0.0,250.18083611090017,0.0,0.0,1.0,0.0,True,300.0,0.4,1556.0,83.02327488681371,86.00957361491271,2.9862987280990083,0.25203656425465376,2.469201122092174,3.4730442384961786,2.9887907417697033,300.0,0.0,0.0,205.22502911203256,1e-323,0.0,1.0,0.0,True,300.0,0.4,1556.0,79.42009987800215,78.86719257708226,-0.5529073009198814,0.1917286609633911,-0.9098246816191462,-0.18030074417859623,-0.5489631644557846,0.0,300.0,0.0,-49.9488982115129,3.914198249132494e-147,0.0,0.0,1.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.694381872222834,58.916913489832325,85.09438082165815,79.92243084833352,300.0,0.4,1556.0,43.09866455699749,46.6719725814278,3.5733080244303173,0.3534369890453738,2.88301889714206,4.247154321879496,3.559864805321702,300.0,0.0,0.0,175.11328019525214,2.4903349192815917e-303,0.0,1.0,0.0,True,300.0,0.4,1556.0,83.02327488681371,85.1006828942803,2.077408007466599,0.23543327688985502,1.6528621007590192,2.569668029547507,2.069803350305804,300.0,0.0,0.0,152.83210022455506,7.469906484785427e-286,0.0,1.0,0.0,True,300.0,0.4,1556.0,79.42009987800215,79.92563532885313,0.5055354508509879,0.1725280995233605,0.1850798397605119,0.8783106866907926,0.4973653052720406,300.0,0.0,0.0,50.751911620204865,5.4878836362402324e-149,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.rocsmt.out.postproc,45.40719549141215,58.75169563696242,84.76430382220352,79.97682744339703,300.0,0.4,1556.0,43.09866455699749,45.39217026628087,2.293505709283379,0.3638801549971166,1.597949562920432,3.0830781389888986,2.2664444783118043,300.0,0.0,0.0,109.16969121219553,6.034071473452194e-243,0.0,1.0,0.0,True,300.0,0.4,1556.0,83.02327488681371,84.7722527204399,1.7489778336262025,0.22574087663297365,1.2881788976279807,2.256939259901222,1.763340121178203,300.0,0.0,0.0,134.1945027562563,3.2982499782606554e-269,0.0,1.0,0.0,True,300.0,0.4,1556.0,79.42009987800215,79.98357616894222,0.5634762909400639,0.16867233220900585,0.20570752385687896,0.8988450946894427,0.5669655943897511,300.0,0.0,0.0,57.86186459788238,1.930706007308874e-164,0.0,1.0,0.0,True
