model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,raw.en.test.out.postproc,21.36823974615398,43.85457346831325,73.31134603247087,75.62306485074924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.footweets.out.postproc,19.40226317944312,41.46529039605278,71.61271551115591,73.48248493833776,300.0,0.4,764.0,20.07974542727834,19.404435877634434,-0.6753095496439094,0.3261101967212752,-1.3701200734997208,-0.03904321842993829,-0.6751020077522014,5.0,295.0,0.0,-35.86733756195363,2.5013303344476203e-110,0.03333333333333333,0.016666666666666666,0.9833333333333333,True,300.0,0.4,764.0,73.54578785927248,71.56244742861229,-1.9833404306601892,0.5497901130708818,-3.040932473672928,-0.895502635263178,-2.0132053623960866,0.0,300.0,0.0,-62.482869606752935,1.1713466064508486e-173,0.0,0.0,1.0,True,300.0,0.4,764.0,75.53908122580557,73.43261825624874,-2.1064629695568415,0.5278796340522619,-3.025534539849185,-1.1060248718094767,-2.1094366322949254,0.0,300.0,0.0,-69.11615171676898,6.511078153934621e-186,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.mmtc.out.postproc,19.189357194631818,41.26440453618292,71.27358873065945,72.97053195032667,300.0,0.4,764.0,20.07974542727834,19.191657344534203,-0.8880880827441406,0.3400888694687258,-1.5760842043437322,-0.23193665442537567,-0.910982678621675,1.0,299.0,0.0,-45.22975666072886,9.486181867898245e-136,0.006666666666666667,0.0033333333333333335,0.9966666666666667,True,300.0,0.4,764.0,73.54578785927248,71.23057222140085,-2.315215637871628,0.5480492126287442,-3.4077933386787365,-1.3049741760286409,-2.3007273381449145,0.0,300.0,0.0,-73.16990925025053,6.675499936591568e-193,0.0,0.0,1.0,True,300.0,0.4,764.0,75.53908122580557,72.91417318133941,-2.6249080444661734,0.5123448053443779,-3.623008710278578,-1.6950279566903093,-2.5953016804618976,0.0,300.0,0.0,-88.73856142945996,7.574592497095926e-217,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.default.out.postproc,20.091162468859388,42.633440686025935,73.59551067765062,75.58238533325006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.rocsmt.out.postproc,19.93322099798891,42.06752129006173,72.24897251680548,73.87601744916316,300.0,0.4,764.0,20.07974542727834,19.937453531439484,-0.14229189583886057,0.33305634588648764,-0.7739899417744027,0.5187411925359366,-0.14531412680661582,99.0,201.0,0.0,-7.399852791941772,1.388697125243389e-12,0.66,0.33,0.67,False,300.0,0.4,764.0,73.54578785927248,72.22571053106279,-1.3200773282096856,0.5181781957693405,-2.2763922649645365,-0.2390131475257667,-1.325381106419088,1.0,299.0,0.0,-44.12460850430549,5.917987370591798e-133,0.006666666666666667,0.0033333333333333335,0.9966666666666667,True,300.0,0.4,764.0,75.53908122580557,73.85159130657115,-1.6874899192344246,0.4948612742311102,-2.6033424216454235,-0.7321558477288792,-1.6963292147320619,0.0,300.0,0.0,-59.063386641350114,6.774511384387651e-167,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.pfsmb.out.postproc,19.44571272415278,41.452269421605955,71.35429448907196,73.4413565828764,300.0,0.4,764.0,20.07974542727834,19.445522629820243,-0.6342227974580982,0.3195553922977276,-1.272233867198983,-0.004810360199165049,-0.6361044067611914,8.0,292.0,0.0,-34.376077981886176,6.913929166721858e-106,0.05333333333333334,0.02666666666666667,0.9733333333333334,True,300.0,0.4,764.0,73.54578785927248,71.33692325275867,-2.2088646065138193,0.5256356317859846,-3.2465731807014118,-1.1910450332724971,-2.1811751209940553,0.0,300.0,0.0,-72.78550947018547,2.96643025658993e-192,0.0,0.0,1.0,True,300.0,0.4,764.0,75.53908122580557,73.41306732448037,-2.1260139013252126,0.48947801808473124,-3.1842386696234146,-1.149397122415263,-2.1395727231396435,0.0,300.0,0.0,-75.23042830608905,2.5318345360551154e-196,0.0,0.0,1.0,True
google/gemma-2-9b-it,raw.en.test.footweets.out.postproc,22.111276542876812,45.07115306882669,75.57346382773066,77.59095497815755,300.0,0.4,764.0,23.365812510605682,22.08889686133505,-1.276915649270631,0.32404669368481226,-1.842812861238636,-0.6701656232897208,-1.2514116778936035,0.0,300.0,0.0,-68.25197802103645,2.2408709181104035e-184,0.0,0.0,1.0,True,300.0,0.4,764.0,76.38329010961957,75.52892915995541,-0.8543609496641636,0.2483065692166865,-1.3074491158888497,-0.3773224397186931,-0.8667435555557934,0.0,300.0,0.0,-59.59554664579866,5.715126780016818e-168,0.0,0.0,1.0,True,300.0,0.4,764.0,78.0016670063086,77.57455673002448,-0.4271102762841224,0.2188719296498172,-0.8558338215447815,-0.015912354089983594,-0.4185134632737175,7.0,293.0,0.0,-33.79952377367357,3.8730487049222016e-104,0.04666666666666667,0.023333333333333334,0.9766666666666667,True
google/gemma-2-9b-it,raw.en.test.mmtc.out.postproc,22.32672206658219,45.28672317381284,75.7440430931298,77.64925221112962,300.0,0.4,764.0,23.365812510605682,22.29841477039365,-1.0673977402120367,0.341627275890416,-1.7313029070035153,-0.3936647757957959,-1.075914566413438,0.0,300.0,0.0,-54.11708163854251,1.6552087877990952e-156,0.0,0.0,1.0,True,300.0,0.4,764.0,76.38329010961957,75.70952890076094,-0.6737612088586337,0.24488499500380095,-1.1574731683797381,-0.2026925297424738,-0.6740060620282984,0.0,300.0,0.0,-47.65455906737227,1.0455314758778745e-141,0.0,0.0,1.0,True,300.0,0.4,764.0,78.0016670063086,77.63523292870474,-0.3664340776038627,0.22368196374231508,-0.8151689806650727,0.0779163199647518,-0.3754150941577883,15.0,285.0,0.0,-28.374323500024822,8.217510390008993e-87,0.1,0.05,0.95,False
google/gemma-2-9b-it,raw.en.test.default.out.postproc,23.39582764591859,45.92116416683985,76.42871998894458,78.01376478624569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-2-9b-it,raw.en.test.rocsmt.out.postproc,23.153492458254288,45.99515912728364,76.63896214031561,78.04662443662326,300.0,0.4,764.0,23.365812510605682,23.114433408682245,-0.2513791019234362,0.30725807802399085,-0.8406114573624845,0.4019530811558618,-0.26068491065009347,62.0,238.0,0.0,-14.170542863918794,3.175985759313565e-35,0.41333333333333333,0.20666666666666667,0.7933333333333333,False,300.0,0.4,764.0,76.38329010961957,76.59262793253698,0.20933782291740044,0.22557140055511535,-0.2431273466239392,0.6493035819947108,0.1993457118722175,250.0,50.0,0.0,16.07401223499526,2.4715054887005922e-42,0.3333333333333333,0.8333333333333334,0.16666666666666666,False,300.0,0.4,764.0,78.0016670063086,78.02101076143366,0.019343755125063068,0.19499723065533084,-0.35046385562154225,0.40245981165330347,0.0021961698045303013,150.0,150.0,0.0,1.7181970519879357,0.08679589641559991,1.0,0.5,0.5,False
