model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,detok.twitter.sent.en.txt.out.postproc,40.942511615103825,57.35863727192836,80.15194682657764,76.61930549019068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.footweets.out.postproc,41.573155582999625,56.40365793292478,78.02069742212446,72.86859387510324,300.0,0.4,1556.0,40.686279114946075,41.56878186804366,0.8825027530975812,1.0201876828995382,-0.646150657513054,3.4071306196486955,0.7680341719175523,250.0,50.0,0.0,14.98292551268671,3.033726121821949e-38,0.3333333333333333,0.8333333333333334,0.16666666666666666,False,300.0,0.4,1556.0,80.13767258107546,78.02095988974767,-2.116712691327804,0.5937453513187668,-3.364697718600193,-0.9828713686614834,-2.132495155122255,0.0,300.0,0.0,-61.747917996536806,3.12606957376384e-172,0.0,0.0,1.0,True,300.0,0.4,1556.0,76.6249514134296,72.87539070228557,-3.7495607111440217,0.49928773052522657,-4.741856509575423,-2.870617066928992,-3.725288332389681,0.0,300.0,0.0,-130.07388847576345,3.1632392552781945e-265,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.pfsmb.out.postproc,42.06900455161707,56.874208293682194,79.08054495890792,73.84720984400927,300.0,0.4,1556.0,40.686279114946075,42.077215605618996,1.3909364906729145,1.042821254431449,-0.15482657506649192,4.0258934231204995,1.3194162752411174,289.0,11.0,0.0,23.10245079594713,1.8093383730671708e-68,0.07333333333333333,0.9633333333333334,0.03666666666666667,False,300.0,0.4,1556.0,80.13767258107546,79.08528768822818,-1.0523848928472836,0.5813812705058852,-2.244124979685737,-0.02090468971599547,-1.0086318693461382,7.0,293.0,0.0,-31.352645776554514,1.6037694437169894e-96,0.04666666666666667,0.023333333333333334,0.9766666666666667,True,300.0,0.4,1556.0,76.6249514134296,73.86652165046719,-2.758429762962391,0.5017132531379587,-3.7552153016500402,-1.82399882836827,-2.7326636993180164,0.0,300.0,0.0,-95.22850888787018,1.0618243860794629e-225,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.mmtc.out.postproc,40.61261575814013,54.39385527685721,76.64744645839916,71.89522397475244,300.0,0.4,1556.0,40.686279114946075,40.60406502911274,-0.08221408583333449,1.0283386341287224,-1.6316041993640902,2.6245886993854715,-0.13265407057899736,123.0,177.0,0.0,-1.384747874242943,0.1671619842407462,0.82,0.41,0.59,False,300.0,0.4,1556.0,80.13767258107546,76.66295267916392,-3.4747199019115502,0.6826349805780998,-4.700040944246214,-2.2468260700567835,-3.4323127538080644,0.0,300.0,0.0,-88.1641226045109,4.917519977273225e-216,0.0,0.0,1.0,True,300.0,0.4,1556.0,76.6249514134296,71.92890497506455,-4.696046438365026,0.589826124096671,-5.836732857034648,-3.6703614253253942,-4.684224351282906,0.0,300.0,0.0,-137.90150509878035,1.086215258735442e-272,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.rocsmt.out.postproc,40.867860531435845,56.05266310442377,76.86601704023404,71.9243432944279,300.0,0.4,1556.0,40.686279114946075,40.89627999090648,0.21000087596039402,1.034938144293956,-1.4283927907151381,2.7602574309247103,0.16322770681032495,170.0,130.0,0.0,3.514530687681952,0.0005087129646762557,0.8666666666666667,0.5666666666666667,0.43333333333333335,False,300.0,0.4,1556.0,80.13767258107546,76.87891784056562,-3.2587547405098576,0.6759380848419809,-4.664987507192441,-1.9325520490130994,-3.2200766253287494,0.0,300.0,0.0,-83.5036360066695,2.9489036805014296e-209,0.0,0.0,1.0,True,300.0,0.4,1556.0,76.6249514134296,71.92396241112355,-4.70098900230603,0.5941084782319288,-5.891765948950021,-3.5919687411434245,-4.707419582113504,0.0,300.0,0.0,-137.05160077917537,6.702518182084813e-272,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,detok.twitter.sent.en.txt.default.out.postproc,40.28381454551263,55.44799234916494,81.47660002790586,77.27151533483877,300.0,0.4,1556.0,40.686279114946075,40.28168730109913,-0.4045918138469514,1.0317518647945032,-1.8870334821809331,2.3785850746163355,-0.476090665552519,78.0,222.0,0.0,-6.792074740266586,5.968049428309312e-11,0.52,0.26,0.74,False,300.0,0.4,1556.0,80.13767258107546,81.4839653322328,1.3462927511573195,0.39076874375656206,0.6220362513807323,2.14456852839106,1.3099797759540288,300.0,0.0,0.0,59.67333580596804,3.9877985124004044e-168,0.0,1.0,0.0,True,300.0,0.4,1556.0,76.6249514134296,77.28649384150444,0.6615424280748375,0.3163522470613366,0.10159764754894995,1.2868260674102006,0.6380553340544104,298.0,2.0,0.0,36.21991332231434,2.316369919222288e-111,0.013333333333333334,0.9933333333333333,0.006666666666666667,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.footweets.out.postproc,47.29376448568354,60.43409201223285,85.4383631977455,79.70651106467803,300.0,0.4,1556.0,40.686279114946075,47.278219898873274,6.591940783927199,0.9780078513912853,5.071156040419923,9.1621766159063,6.473772069711,300.0,0.0,0.0,116.74319732714837,1.8621559089372494e-251,0.0,1.0,0.0,True,300.0,0.4,1556.0,80.13767258107546,85.4454839168549,5.3078113357794265,0.3532928478405961,4.612198500537285,5.981634854193023,5.310134711773512,300.0,0.0,0.0,260.2203516644076,0.0,0.0,1.0,0.0,True,300.0,0.4,1556.0,76.6249514134296,79.71562255664243,3.090671143212835,0.2836342982346539,2.5597067220869136,3.6353279970548034,3.086891556805077,300.0,0.0,0.0,188.7359703269332,5.69015702e-313,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.pfsmb.out.postproc,49.03927830207489,62.69558376628218,86.00179112625784,78.85456876434131,300.0,0.4,1556.0,40.686279114946075,49.0243999350755,8.338120820129424,1.0288682063037877,6.851598019049586,11.006429602966595,8.201437802241315,300.0,0.0,0.0,140.36830773491528,5.868214905045257e-275,0.0,1.0,0.0,True,300.0,0.4,1556.0,80.13767258107546,86.00957361491271,5.871901033837236,0.3615870570759105,5.145847960961821,6.5645869266347106,5.870976141991524,300.0,0.0,0.0,281.2719849506992,0.0,0.0,1.0,0.0,True,300.0,0.4,1556.0,76.6249514134296,78.86719257708226,2.242241163652681,0.29617923312347366,1.6960016397668292,2.8261296871024846,2.2408424524690886,300.0,0.0,0.0,131.12585839702498,2.9656827895085372e-266,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.mmtc.out.postproc,46.694381872222834,58.916913489832325,85.09438082165815,79.92243084833352,300.0,0.4,1556.0,40.686279114946075,46.6719725814278,5.9856934664817265,1.0047423896459562,4.498559551869989,8.664999274494939,5.857849503331501,300.0,0.0,0.0,103.18590426081913,8.16406006424545e-236,0.0,1.0,0.0,True,300.0,0.4,1556.0,80.13767258107546,85.1006828942803,4.963010313204827,0.34920704794806934,4.251145868583707,5.636832151528456,4.964787633203755,300.0,0.0,0.0,246.16301622404333,0.0,0.0,1.0,0.0,True,300.0,0.4,1556.0,76.6249514134296,79.92563532885313,3.30068391542355,0.28131467538747973,2.7911824378206487,3.840660538744648,3.2836805387450374,300.0,0.0,0.0,203.2226805574397,1.7e-322,0.0,1.0,0.0,True
google/gemma-2-9b-it,detok.twitter.sent.en.txt.rocsmt.out.postproc,45.40719549141215,58.75169563696242,84.76430382220352,79.97682744339703,300.0,0.4,1556.0,40.686279114946075,45.39217026628087,4.705891151334788,0.9905410228522213,3.266743569705233,7.453419112763841,4.594236901419912,300.0,0.0,0.0,82.28677440870285,1.979981552603348e-207,0.0,1.0,0.0,True,300.0,0.4,1556.0,80.13767258107546,84.7722527204399,4.634580139364431,0.35645429633871684,3.8316664998694905,5.279229191445521,4.631202548244312,300.0,0.0,0.0,225.19936933235786,0.0,0.0,1.0,0.0,True,300.0,0.4,1556.0,76.6249514134296,79.98357616894222,3.3586247555126265,0.27886863710124304,2.8509404126238698,3.899406685630353,3.3330100284444053,300.0,0.0,0.0,208.60390686366418,0.0,0.0,1.0,0.0,True
