model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr-en.fr.out.postproc,52.813263129186936,67.98139354705685,86.54196649819671,79.5509712774314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.mmtc.out.postproc,49.9430438117766,65.6050062097068,82.79688923147494,76.53310578129813,300.0,0.4,798.0,52.745727539754,50.0343137792839,-2.711413760470098,1.2552823255343444,-5.085479003811,0.043841332853860465,-2.719455249361758,9.0,291.0,0.0,-37.412351770957116,8.25053303182487e-115,0.06,0.03,0.97,False,300.0,0.4,798.0,86.5771259771179,82.83200111097611,-3.745124866141811,0.6883475562672456,-5.141748786906251,-2.628296237056121,-3.6938105684175215,0.0,300.0,0.0,-94.23650145608678,2.1986344776288204e-224,0.0,0.0,1.0,True,300.0,0.4,798.0,79.55424279380364,76.55675926355143,-2.9974835302522016,0.6249112541368403,-4.326619831354995,-1.7748200227704847,-2.930224742880444,0.0,300.0,0.0,-83.08049718865935,1.2652538080745055e-208,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.default.out.postproc,38.67602325641639,55.68003901952181,77.07911266950902,76.14086483099418,300.0,0.4,798.0,52.745727539754,38.663434750983214,-14.082292788770792,1.3655412483329168,-16.43310464708769,-11.056210583276748,-14.131321223535934,0.0,300.0,0.0,-178.61962519981876,7.016777275873612e-306,0.0,0.0,1.0,True,300.0,0.4,798.0,86.5771259771179,77.0813536061629,-9.495772370955002,0.6227760279910449,-10.598701555702018,-8.22059243656041,-9.49940948109878,0.0,300.0,0.0,-264.09430460350575,0.0,0.0,0.0,1.0,True,300.0,0.4,798.0,79.55424279380364,76.14884211384413,-3.4054006799594894,0.4111998746741766,-4.161906823105087,-2.5932820806079055,-3.41757206540359,0.0,300.0,0.0,-143.44184813998567,9.928718786913129e-278,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.rocsmt.out.postproc,46.182625442998685,62.60523374512399,81.33131192776865,76.95748960834466,300.0,0.4,798.0,52.745727539754,46.264248481165374,-6.481479058588624,1.2675281728329146,-8.786901062305878,-3.963098676556451,-6.589064714165495,0.0,300.0,0.0,-88.56805930063564,1.318190507820064e-216,0.0,0.0,1.0,True,300.0,0.4,798.0,86.5771259771179,81.34571763357722,-5.2314083435406955,0.6444782986641872,-6.465088874941936,-3.9858542202521434,-5.1942216386472335,0.0,300.0,0.0,-140.59534766233605,3.645556664012819e-275,0.0,0.0,1.0,True,300.0,0.4,798.0,79.55424279380364,76.97061844076728,-2.5836243530363463,0.5245712268842486,-3.7193852835766643,-1.6057847953753965,-2.5708205773866233,0.0,300.0,0.0,-85.3071693182795,6.40191186064084e-212,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.footweets.out.postproc,50.71703614698963,66.48839269818836,84.11435712136344,77.81786067422502,300.0,0.4,798.0,52.745727539754,50.770242881437646,-1.9754846583163574,1.2499015138453207,-4.3097546575876855,0.676598618884604,-2.028922330664919,24.0,276.0,0.0,-27.375275250688382,1.9044754435994718e-83,0.16,0.08,0.92,False,300.0,0.4,798.0,86.5771259771179,84.13669894553516,-2.4404270315827583,0.5987586740016961,-3.6408626870777354,-1.3213368741454696,-2.4216706516748676,0.0,300.0,0.0,-70.59511276247265,1.6693780882472323e-188,0.0,0.0,1.0,True,300.0,0.4,798.0,79.55424279380364,77.83466015500932,-1.7195826387943178,0.5023341718249986,-2.7482700439398746,-0.7948061671658904,-1.6990097655090686,0.0,300.0,0.0,-59.291297810468784,2.3441085169206037e-167,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,test.fr-en.fr.pfsmb.out.postproc,49.313601175174576,65.11031225016637,83.45715905388515,77.22363506923458,300.0,0.4,798.0,52.745727539754,49.395429524094155,-3.3502980156598507,1.2316292636186021,-5.881222780434123,-0.6634224302506099,-3.4104804520297094,3.0,297.0,0.0,-47.11552863376124,2.1061554013328905e-140,0.02,0.01,0.99,True,300.0,0.4,798.0,86.5771259771179,83.47626752943522,-3.100858447682688,0.6415650553906065,-4.409596608358815,-1.9670955415693747,-3.076417092467304,0.0,300.0,0.0,-83.71472749861076,1.4296036235130942e-209,0.0,0.0,1.0,True,300.0,0.4,798.0,79.55424279380364,77.22552470398527,-2.328718089818357,0.5666803784836271,-3.482122062740471,-1.2426031788899778,-2.3051178507637604,0.0,300.0,0.0,-71.17694914482868,1.645748740199257e-189,0.0,0.0,1.0,True
google/gemma-2-9b-it,test.fr-en.fr.mmtc.out.postproc,56.57831895677317,70.04044117696073,86.5764024352024,80.47460252213813,300.0,0.4,798.0,52.745727539754,56.57832060622524,3.832593066471242,1.2511620708034452,1.4739755357201507,6.315333855377158,3.8355453309487046,300.0,0.0,0.0,53.056642866432036,3.5242418611923114e-154,0.0,1.0,0.0,True,300.0,0.4,798.0,86.5771259771179,86.5832085725832,0.006082595465277045,0.44631343470109486,-0.9901871067240781,0.8209085237598976,0.019604912527215745,154.0,146.0,0.0,0.23605304184499046,0.8135531251233585,0.9733333333333334,0.5133333333333333,0.4866666666666667,False,300.0,0.4,798.0,79.55424279380364,80.49043116177633,0.9361883679726966,0.29872849697869214,0.3216724656055442,1.527704431635695,0.9230607004840852,299.0,1.0,0.0,54.28092181307227,7.285437201797123e-157,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True
google/gemma-2-9b-it,test.fr-en.fr.default.out.postproc,40.48295036531508,56.72152076712569,77.7892218966164,77.65091512509004,300.0,0.4,798.0,52.745727539754,40.464400565423155,-12.281326974330844,1.3878761418599865,-14.862113995983863,-9.443051541432055,-12.329945096947935,0.0,300.0,0.0,-153.2693131780426,3.213856853996597e-286,0.0,0.0,1.0,True,300.0,0.4,798.0,86.5771259771179,77.76583621178503,-8.811289765332875,0.5818064650700853,-9.85557409437528,-7.742740807863405,-8.845699322701694,0.0,300.0,0.0,-262.3140592280932,0.0,0.0,0.0,1.0,True,300.0,0.4,798.0,79.55424279380364,77.65875711087247,-1.8954856829311613,0.33005150504463443,-2.524761381678111,-1.2440473977523037,-1.9041818148809009,0.0,300.0,0.0,-99.47167207773153,3.450995781939039e-231,0.0,0.0,1.0,True
google/gemma-2-9b-it,test.fr-en.fr.rocsmt.out.postproc,54.603874003020195,68.41169321033108,85.46056949453268,80.17268809443246,300.0,0.4,798.0,52.745727539754,54.58658994201682,1.8408624022628255,1.2348100761331318,-0.3107642250233867,4.228797937958366,1.7882440072606478,279.0,21.0,0.0,25.821519212471536,4.159656748930484e-78,0.14,0.93,0.07,False,300.0,0.4,798.0,86.5771259771179,85.45958982813875,-1.1175361489791515,0.47015136844775024,-2.099694100892484,-0.24532691167112258,-1.1171739520435042,4.0,296.0,0.0,-41.17034468531738,3.182626144260628e-125,0.02666666666666667,0.013333333333333334,0.9866666666666667,True,300.0,0.4,798.0,79.55424279380364,80.18626401638775,0.63202122258413,0.29968395714743107,0.03413274090615343,1.1907652432197062,0.628574054342762,295.0,5.0,0.0,36.5282439339578,2.9262049507610143e-112,0.03333333333333333,0.9833333333333333,0.016666666666666666,True
google/gemma-2-9b-it,test.fr-en.fr.footweets.out.postproc,56.713210829593464,70.10337620546372,86.42202292779882,80.36085671198391,300.0,0.4,798.0,52.745727539754,56.71556624185027,3.9698387020962773,1.221992546040074,1.7139970946339746,6.555988343333179,4.0227302376554235,300.0,0.0,0.0,56.26844739901179,4.053404543810113e-161,0.0,1.0,0.0,True,300.0,0.4,798.0,86.5771259771179,86.42516107986694,-0.15196489725096968,0.4449676036917245,-1.1734068472134398,0.6815680047324453,-0.14692333370521227,103.0,197.0,0.0,-5.91528283906298,9.050027262346218e-09,0.6866666666666666,0.3433333333333333,0.6566666666666666,False,300.0,0.4,798.0,79.55424279380364,80.37358928072823,0.819346486924585,0.29778525778907167,0.2484154830077523,1.4425980937398777,0.8073928922340101,298.0,2.0,0.0,47.656816690424186,1.0325206803869782e-141,0.013333333333333334,0.9933333333333333,0.006666666666666667,True
