model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,test.fr.out.postproc,37.09000063465242,53.019316517674596,73.17879787160693,69.86105099686675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,test.fr.pfsmb.out.postproc,41.40743519177811,55.85863218916967,73.44401433659094,68.80158773330636,300.0,0.4,309.0,36.590001821014646,40.787577880722154,4.197576059707509,2.187846454012575,0.027562445030495236,8.732907825943968,4.187700695792753,292.0,8.0,0.0,33.23091979656077,2.1354964476759533e-102,0.05333333333333334,0.9733333333333334,0.02666666666666667,True,300.0,0.4,309.0,73.18231092337136,73.30853823602136,0.126227312649981,1.1930314531806183,-2.402701766070423,2.295269664244349,0.20240780605081388,172.0,128.0,0.0,1.8325763183340738,0.06785995510773865,0.8533333333333334,0.5733333333333334,0.4266666666666667,False,300.0,0.4,309.0,69.82797744719085,68.6377294275753,-1.1902480196155514,1.1083388088334756,-3.38134120173246,0.8685619263490815,-1.08440074237805,38.0,262.0,0.0,-18.60054007990725,7.6457516518811e-52,0.25333333333333335,0.12666666666666668,0.8733333333333333,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.footweets.out.postproc,41.86551434853963,56.29871025695514,74.48344750553947,70.07198531908328,300.0,0.4,309.0,36.590001821014646,41.057742259774706,4.467740438760065,2.552873329091984,-1.5865912902700197,9.291981676826941,4.661041955697343,286.0,14.0,0.0,30.312328256862276,3.4809512502873564e-93,0.09333333333333334,0.9533333333333334,0.04666666666666667,False,300.0,0.4,309.0,73.18231092337136,74.34004614773049,1.1577352243591155,1.0931814552780044,-1.1277669572955595,3.2420894405940204,1.174881294803709,263.0,37.0,0.0,18.343306325043628,7.07895835823448e-51,0.24666666666666667,0.8766666666666667,0.12333333333333334,False,300.0,0.4,309.0,69.82797744719085,69.90446223352333,0.07648478633248985,0.9950834582791301,-2.0447843509777437,1.885431614074505,0.11215112548815798,167.0,133.0,0.0,1.3313007550444222,0.18410420711827796,0.8866666666666667,0.5566666666666666,0.44333333333333336,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.default.out.postproc,39.219631418705106,55.07503135257262,73.8286930754453,70.28448984007632,300.0,0.4,309.0,36.590001821014646,39.17931386260904,2.5893120415943987,1.882668338752159,-0.8148009806350144,6.753985113647577,2.555470760035764,273.0,27.0,0.0,23.821614887643754,4.716603588184671e-71,0.18,0.91,0.09,False,300.0,0.4,309.0,73.18231092337136,73.75655808318265,0.5742471598112853,0.8996326866976724,-1.1957866276545068,2.351293380351134,0.6122992648275927,223.0,77.0,0.0,11.055903943933966,4.7390500878808975e-24,0.5133333333333333,0.7433333333333333,0.25666666666666665,False,300.0,0.4,309.0,69.82797744719085,70.20468372180495,0.376706274614108,0.885501593811403,-1.4907408240447082,2.001442270998432,0.3578778609488742,206.0,94.0,0.0,7.368415954546493,1.695800567394937e-12,0.6266666666666667,0.6866666666666666,0.31333333333333335,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.rocsmt.out.postproc,40.62105155164743,55.66647579957017,74.28240609508282,70.448345250485,300.0,0.4,309.0,36.590001821014646,40.59268158969483,4.002679768680182,1.830976005334314,0.649460113047798,8.46653108911319,3.952057513332587,299.0,1.0,0.0,37.864203056643895,4.249631630807166e-116,0.006666666666666667,0.9966666666666667,0.0033333333333333335,True,300.0,0.4,309.0,73.18231092337136,74.22487456374827,1.0425636403768967,1.0426194427869278,-1.1293936491880578,2.8597802840004385,1.1142782312380806,258.0,42.0,0.0,17.319581058549137,5.052341140711687e-47,0.28,0.86,0.14,False,300.0,0.4,309.0,69.82797744719085,70.33729692020462,0.5093194730137804,0.9738659201313556,-1.5019739751966261,2.2374812952426666,0.47270076463908905,221.0,79.0,0.0,9.058405128552872,1.7673082241156475e-17,0.5266666666666666,0.7366666666666667,0.2633333333333333,False
meta-llama/Llama-3.1-8B-Instruct,test.fr.mmtc.out.postproc,40.67489726084778,55.00094099051722,72.15816243075768,67.84483483892517,300.0,0.4,309.0,36.590001821014646,39.76989216564615,3.179890344631506,2.8254058813382095,-3.5465226102174694,8.279517962986706,3.624061917920006,264.0,36.0,0.0,19.493594445237097,3.4430735769285494e-55,0.24,0.88,0.12,False,300.0,0.4,309.0,73.18231092337136,72.0065783453862,-1.1757325779851584,1.300237824578784,-3.7183197526243097,1.4340374528349031,-1.2445613380196008,52.0,248.0,0.0,-15.661969854199087,8.717770645774936e-41,0.3466666666666667,0.17333333333333334,0.8266666666666667,False,300.0,0.4,309.0,69.82797744719085,67.65968825654434,-2.168289190646514,1.1940874330018605,-4.547654829412986,0.10579860060924887,-2.174066248256412,9.0,291.0,0.0,-31.451524736851578,7.781732285707224e-97,0.06,0.03,0.97,False
google/gemma-2-9b-it,test.fr.pfsmb.out.postproc,46.157447850801674,62.360690336035404,80.53532724315721,74.98107189734263,300.0,0.4,309.0,36.590001821014646,46.097994012007575,9.507992190992933,1.7592904780054939,6.362583603658695,13.518128818187584,9.33816783230856,300.0,0.0,0.0,93.60776835123905,1.524125743631691e-223,0.0,1.0,0.0,True,300.0,0.4,309.0,73.18231092337136,80.51268074504766,7.330369821676287,0.6324025003832637,6.142815107473662,8.550363786542684,7.324360045800315,300.0,0.0,0.0,200.7672797264125,6.205e-321,0.0,1.0,0.0,True,300.0,0.4,309.0,69.82797744719085,74.94885302711974,5.120875579928889,0.6466423914627889,3.822273023450647,6.395474182604579,5.144003395316677,300.0,0.0,0.0,137.16416988393465,5.263663522804438e-272,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.footweets.out.postproc,45.06622679062855,62.19428807894841,80.53101753047336,75.13018635620892,300.0,0.4,309.0,36.590001821014646,45.06815814733372,8.478156326319075,1.7261824083163722,5.4306500893843355,12.350954231992763,8.4665149588991,300.0,0.0,0.0,85.06979008098412,1.4252129546226156e-211,0.0,1.0,0.0,True,300.0,0.4,309.0,73.18231092337136,80.51366060200633,7.331349678634953,0.6272031107017334,6.138574259421973,8.573530587370733,7.30866225599085,300.0,0.0,0.0,202.4586599585308,5.14e-322,0.0,1.0,0.0,True,300.0,0.4,309.0,69.82797744719085,75.11425338722484,5.286275940033996,0.6326710826014922,4.037261438167204,6.49841642109708,5.263204023868906,300.0,0.0,0.0,144.7213056319672,7.245838906566333e-279,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.default.out.postproc,43.02855970355561,59.73028416362383,78.93469682948864,75.20771924921951,300.0,0.4,309.0,36.590001821014646,42.83864434445294,6.248642523438292,1.8727572825616203,2.584097922382931,10.512229327418869,6.251799117952881,300.0,0.0,0.0,57.791612558176816,2.6950510836637645e-164,0.0,1.0,0.0,True,300.0,0.4,309.0,73.18231092337136,78.93061623308394,5.748305309712565,0.6403144485073097,4.503526008630645,6.957705478548615,5.736648877268857,300.0,0.0,0.0,155.49167876892682,4.5791213622182106e-288,0.0,1.0,0.0,True,300.0,0.4,309.0,69.82797744719085,75.17959693302485,5.351619485834013,0.6226864792450271,4.061399629538494,6.587228550542518,5.3732047574805595,300.0,0.0,0.0,148.85945272938363,1.7746135007935633e-282,0.0,1.0,0.0,True
google/gemma-2-9b-it,test.fr.rocsmt.out.postproc,43.93055321046079,61.422278330456805,80.31991623814325,75.51319403682304,300.0,0.4,309.0,36.590001821014646,43.95046427620774,7.360462455193093,1.7362306821484716,4.238542783263499,11.309025904089747,7.355957381137667,300.0,0.0,0.0,73.42742569104887,2.4674278072454e-193,0.0,1.0,0.0,True,300.0,0.4,309.0,73.18231092337136,80.30482621605086,7.12251529267948,0.610997308598981,6.068104019683928,8.354031988525076,7.101236274134381,300.0,0.0,0.0,201.90855493119835,1.156e-321,0.0,1.0,0.0,True,300.0,0.4,309.0,69.82797744719085,75.47274019803044,5.644762750839597,0.6168594950338643,4.307345866096059,6.773175269268858,5.645302227399885,300.0,0.0,0.0,158.49664242567434,1.6029418041797298e-290,0.0,1.0,0.0,True
