model,file,bleu,chrf2,comet,cometkiwi,bleu_n_splits,bleu_sample_ratio,bleu_sample_size,bleu_baseline_mean,bleu_system_mean,bleu_delta_mean,bleu_delta_std,bleu_delta_ci_low,bleu_delta_ci_high,bleu_delta_median,bleu_wins,bleu_losses,bleu_ties,bleu_paired_ttest_statistic,bleu_paired_ttest_pvalue,bleu_bootstrap_pvalue_two_sided,bleu_bootstrap_prob_system_ge_baseline,bleu_bootstrap_prob_system_le_baseline,bleu_significant_95_ci,comet_n_splits,comet_sample_ratio,comet_sample_size,comet_baseline_mean,comet_system_mean,comet_delta_mean,comet_delta_std,comet_delta_ci_low,comet_delta_ci_high,comet_delta_median,comet_wins,comet_losses,comet_ties,comet_paired_ttest_statistic,comet_paired_ttest_pvalue,comet_bootstrap_pvalue_two_sided,comet_bootstrap_prob_system_ge_baseline,comet_bootstrap_prob_system_le_baseline,comet_significant_95_ci,cometkiwi_n_splits,cometkiwi_sample_ratio,cometkiwi_sample_size,cometkiwi_baseline_mean,cometkiwi_system_mean,cometkiwi_delta_mean,cometkiwi_delta_std,cometkiwi_delta_ci_low,cometkiwi_delta_ci_high,cometkiwi_delta_median,cometkiwi_wins,cometkiwi_losses,cometkiwi_ties,cometkiwi_paired_ttest_statistic,cometkiwi_paired_ttest_pvalue,cometkiwi_bootstrap_pvalue_two_sided,cometkiwi_bootstrap_prob_system_ge_baseline,cometkiwi_bootstrap_prob_system_le_baseline,cometkiwi_significant_95_ci
facebook/nllb-200-3.3B,raw.en.test.out.postproc,21.36823974615398,43.85457346831325,73.31134603247087,75.62306485074924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.footweets.out.postproc,19.40226317944312,41.46529039605278,71.61271551115591,73.48248493833776,300.0,0.4,764.0,21.38510100184543,19.404435877634434,-1.9806651242109994,0.5440809279346475,-3.023733241177718,-0.9696145990212894,-2.0146602386272736,0.0,300.0,0.0,-63.05335202496277,9.363653678182962e-175,0.0,0.0,1.0,True,300.0,0.4,764.0,73.27298839472195,71.56244742861229,-1.7105409661096633,0.6411834842556974,-2.902704225901843,-0.48649564834009523,-1.6880258878800292,2.0,298.0,0.0,-46.207426337082296,3.520047726240194e-138,0.013333333333333334,0.006666666666666667,0.9933333333333333,True,300.0,0.4,764.0,75.60387628853165,73.43261825624874,-2.171258032282921,0.5892057822175397,-3.3236409417543715,-0.9976991754590818,-2.141181266432657,0.0,300.0,0.0,-63.82709304213093,3.1393751654984353e-176,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.mmtc.out.postproc,19.189357194631818,41.26440453618292,71.27358873065945,72.97053195032667,300.0,0.4,764.0,21.38510100184543,19.191657344534203,-2.19344365731123,0.5674824499350581,-3.2647960458817322,-1.1183313427112,-2.194794682604641,0.0,300.0,0.0,-66.94754804201466,5.044401687377121e-182,0.0,0.0,1.0,True,300.0,0.4,764.0,73.27298839472195,71.23057222140085,-2.0424161733211026,0.673363754424644,-3.358250715140823,-0.872927373860284,-2.0192859518824493,0.0,300.0,0.0,-52.535773705480025,5.063742071472632e-153,0.0,0.0,1.0,True,300.0,0.4,764.0,75.60387628853165,72.91417318133941,-2.6897031071922544,0.6121957303489923,-3.9256925742429596,-1.5195934041476422,-2.658097641006185,0.0,300.0,0.0,-76.09825106550633,9.72199192431522e-198,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.default.out.postproc,20.091162468859388,42.633440686025935,73.59551067765062,75.58238533325006,300.0,0.4,764.0,21.38510100184543,20.07974542727834,-1.3053555745670895,0.50238546869772,-2.2387659799347475,-0.38153147991372305,-1.3144689335018356,2.0,298.0,0.0,-45.00413164724412,3.4960930139492866e-135,0.013333333333333334,0.006666666666666667,0.9933333333333333,True,300.0,0.4,764.0,73.27298839472195,73.54578785927248,0.2727994645505259,0.5127484624851656,-0.7453529383616642,1.2458678011182645,0.26922260376951446,212.0,88.0,0.0,9.215094094850956,5.696626421369197e-18,0.5866666666666667,0.7066666666666667,0.29333333333333333,False,300.0,0.4,764.0,75.60387628853165,75.53908122580557,-0.06479506272608018,0.4279602694113575,-0.9378624871295097,0.8191662412429391,-0.0697613250054574,129.0,171.0,0.0,-2.6224009269727047,0.009178527138396887,0.86,0.43,0.57,False
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.rocsmt.out.postproc,19.93322099798891,42.06752129006173,72.24897251680548,73.87601744916316,300.0,0.4,764.0,21.38510100184543,19.937453531439484,-1.4476474704059499,0.5484520953627996,-2.4051640737249294,-0.4146666859177734,-1.467556791343588,0.0,300.0,0.0,-45.71773891269446,5.741992217767256e-137,0.0,0.0,1.0,True,300.0,0.4,764.0,73.27298839472195,72.22571053106279,-1.04727786365916,0.6089879632899275,-2.1950083658469803,0.08101801680527947,-1.0307789560777936,14.0,286.0,0.0,-29.78611366471746,1.785951438022233e-91,0.09333333333333334,0.04666666666666667,0.9533333333333334,False,300.0,0.4,764.0,75.60387628853165,73.85159130657115,-1.752284981960505,0.5635034017758861,-2.8551304466164154,-0.7439978906387437,-1.729040142363275,0.0,300.0,0.0,-53.860306939239955,6.014250303982641e-156,0.0,0.0,1.0,True
meta-llama/Llama-3.1-8B-Instruct,raw.en.test.pfsmb.out.postproc,19.44571272415278,41.452269421605955,71.35429448907196,73.4413565828764,300.0,0.4,764.0,21.38510100184543,19.445522629820243,-1.9395783720251878,0.5457229396432604,-2.922595095085107,-0.811965306641519,-1.961713366918632,1.0,299.0,0.0,-61.559594467577796,7.29144996667231e-172,0.006666666666666667,0.0033333333333333335,0.9966666666666667,True,300.0,0.4,764.0,73.27298839472195,71.33692325275867,-1.9360651419632935,0.641079822771789,-3.3385200067106324,-0.8122555033854802,-1.919299551329684,0.0,300.0,0.0,-52.308044544980206,1.6345875119359466e-152,0.0,0.0,1.0,True,300.0,0.4,764.0,75.60387628853165,73.41306732448037,-2.1908089640512927,0.5804703875970896,-3.3595296412862434,-1.0851040061231652,-2.18716333790912,0.0,300.0,0.0,-65.37099077736318,3.981849692192262e-179,0.0,0.0,1.0,True
google/gemma-2-9b-it,raw.en.test.footweets.out.postproc,22.111276542876812,45.07115306882669,75.57346382773066,77.59095497815755,300.0,0.4,764.0,21.38510100184543,22.08889686133505,0.7037958594896215,0.5446802410141566,-0.41295837002619445,1.7226223303669637,0.6891137575492738,272.0,28.0,0.0,22.380290214363555,7.505358918427213e-66,0.18666666666666668,0.9066666666666666,0.09333333333333334,False,300.0,0.4,764.0,73.27298839472195,75.52892915995541,2.2559407652334604,0.40305907764611937,1.4834301940199561,3.0254776174134306,2.23876207052725,300.0,0.0,0.0,96.9437048054979,6.032537197089164e-228,0.0,1.0,0.0,True,300.0,0.4,764.0,75.60387628853165,77.57455673002448,1.9706804414928274,0.36790009924846145,1.2798929146213014,2.6631892099976504,1.9636646654281387,300.0,0.0,0.0,92.77841069139419,1.9966883575194818e-222,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.mmtc.out.postproc,22.32672206658219,45.28672317381284,75.7440430931298,77.64925221112962,300.0,0.4,764.0,21.38510100184543,22.29841477039365,0.913313768548216,0.5618942152191079,-0.1475901937977347,1.9375377870618657,0.8490697743741009,284.0,16.0,0.0,28.153090164148708,4.5212457317227244e-86,0.10666666666666667,0.9466666666666667,0.05333333333333334,False,300.0,0.4,764.0,73.27298839472195,75.70952890076094,2.4365405060389898,0.40004273529668577,1.592152500378834,3.145036331880152,2.455773922317317,300.0,0.0,0.0,105.49402798251678,1.305598998448081e-238,0.0,1.0,0.0,True,300.0,0.4,764.0,75.60387628853165,77.63523292870474,2.031356640173087,0.3669690312786898,1.3395531936816794,2.7216347224074213,2.021282540722047,300.0,0.0,0.0,95.87765204089347,1.485121593231417e-226,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.default.out.postproc,23.39582764591859,45.92116416683985,76.42871998894458,78.01376478624569,300.0,0.4,764.0,21.38510100184543,23.365812510605682,1.980711508760253,0.5045657469124021,1.009993483833275,2.924899317319129,1.9794825421418825,300.0,0.0,0.0,67.99298187208832,6.521200569704612e-184,0.0,1.0,0.0,True,300.0,0.4,764.0,73.27298839472195,76.38329010961957,3.1103017148976235,0.40840992502281087,2.3170021967231,3.867153463670637,3.137672388272761,300.0,0.0,0.0,131.90670125782086,5.178529339204863e-267,0.0,1.0,0.0,True,300.0,0.4,764.0,75.60387628853165,78.0016670063086,2.3977907177769495,0.34472779485083727,1.7370405364098969,3.0539597344648155,2.4206381115613795,300.0,0.0,0.0,120.47462987148326,1.8588837799963118e-255,0.0,1.0,0.0,True
google/gemma-2-9b-it,raw.en.test.rocsmt.out.postproc,23.153492458254288,45.99515912728364,76.63896214031561,78.04662443662326,300.0,0.4,764.0,21.38510100184543,23.114433408682245,1.7293324068368163,0.5823259215710365,0.5911682712254871,2.749547145287711,1.697710007099401,300.0,0.0,0.0,51.436686584994305,1.5042206405298563e-150,0.0,1.0,0.0,True,300.0,0.4,764.0,73.27298839472195,76.59262793253698,3.3196395378150236,0.40035110297529386,2.587697275412023,4.066508417432221,3.343265653826799,300.0,0.0,0.0,143.61854631045972,6.907342273385062e-278,0.0,1.0,0.0,True,300.0,0.4,764.0,75.60387628853165,78.02101076143366,2.417134472902013,0.3554280924359201,1.7755107458739416,3.063321320720375,2.4336782269452852,300.0,0.0,0.0,117.79034366979036,1.3647625030989676e-252,0.0,1.0,0.0,True
